Vmag,Plx,B-V,SpType,Luminousity Classes,label
8.96,1.22,1.463,K3V,V,4
6.94,25.77,0.521,F7V,V,4
8.38,3.28,0.699,G0V,V,4
9.31,3.96,1.096,K1III,III,2
8.04,3.46,0.111,A2V,V,4
6.16,6.87,0.952,G8III,III,2
7.64,9.08,0.316,F0V,V,4
8.72,2.9,1.269,M6III,III,2
7.67,4.17,1.518,M6III,III,2
6.48,56.26,0.681,G5V,V,4
5.42,3.97,1.664,K5III,III,2
7.85,4.77,1.253,K3III,III,2
8.04,9.21,0.519,F6V,V,4
7.93,8.56,0.275,A8IV,V,4
8.9,5.63,0.386,A4IV,V,4
7.86,4.15,1.29,K1III,III,2
8.64,4.49,0.689,G2III,III,2
8.32,10.49,0.468,F3V,V,4
6.75,5.7,1.064,K1III,III,2
8.82,4.46,1.324,K1III,III,2
7.1,5.6,0.062,A2V,V,4
8.69,2.96,0.937,G8III,III,2
7.89,11.02,0.461,F5V,V,4
7.86,3.55,1.246,K2III,III,2
9.03,-0.55,0.93,G8III,III,2
8.31,27.96,0.929,K0V,V,4
7.75,2.73,1.399,K4III,III,2
8.22,3.83,0.519,F0IV,V,4
9.8,13.35,0.73,G8V,V,4
4.75,7.55,1.522,K4III,III,2
8.27,1.8,1.663,M2III,III,2
8.99,5.64,0.434,F3V,V,4
9.18,2.82,0.86,G8III,III,2
6.24,23.49,0.585,F7V,V,4
7.41,16.75,0.755,G6IV,V,4
9.45,5.84,0.475,F5V,V,4
7.95,6.19,0.348,F0V,V,4
8.99,-2.02,1.41,K3III,III,2
8.34,8.99,0.44,F3V,V,4
7.89,4.26,1.12,K1III,III,2
8.08,2.06,1.701,M1III,III,2
7.05,6.42,0.076,A2V,V,4
5.9,13.48,0.303,F0V,V,4
7.02,4.99,1.295,M7III,III,2
6.85,7.4,1.029,K0III,III,2
5.1,6.84,1.594,M4III,III,2
9.27,2.34,0.871,G8III,III,2
8.67,4.34,0.286,A7IV,V,4
8.57,10.86,0.468,F5V,V,4
8.38,1.7,0.981,K0III,III,2
7.74,2.59,-0.056,B3V,V,4
6.15,29.26,0.518,F7V,V,4
7.41,5.11,1.075,G6III,III,2
8.25,2.12,1.521,K4III,III,2
8.46,9.64,0.424,F3V,V,4
8.26,3.21,1.13,K0III,III,2
7.37,4.46,0.933,K0III,III,2
6.86,6.55,0.1,B9V,V,4
9.25,25.43,0.895,K2V,V,4
9.01,2.9,0.994,G8III,III,2
9.2,1.97,1.107,G9III,III,2
7.42,-0.25,1.891,M0III,III,2
9.21,5.06,0.361,F0V,V,4
9.97,17.91,1.11,K4V,V,4
4.3,7.1,-0.149,B3V,V,4
5.73,14.39,0.467,F5IV,V,4
7.95,11.98,0.543,F7V,V,4
7.39,6.65,1.128,K1III,III,2
7.59,2.6,1.3,K1III,III,2
8.94,31.29,1.098,K2V,V,4
8.49,4.96,0.435,F3V,V,4
9.92,12.36,0.838,G8V,V,4
9.22,-0.35,0.997,G8III,III,2
8.74,8.07,0.378,F3V,V,4
8.85,9.17,0.413,F3V,V,4
7.28,3.45,0.996,G8III,III,2
7.86,2.39,1.595,K5III,III,2
10.39,-0.31,1.047,K1III,III,2
8.2,8.41,0.19,A3V,V,4
9.04,8.64,0.479,F5V,V,4
8.3,4.32,1.128,K1III,III,2
8.14,6.69,0.408,F3V,V,4
9.05,9.16,0.617,G0V,V,4
10.18,-3.99,1.04,K0III,III,2
11.29,12.61,1.369,M0V,V,4
7.66,9.35,0.427,F2V,V,4
9.33,11.17,0.678,G3V,V,4
7.84,11.13,0.58,G0V,V,4
8.69,4.15,1.211,K2III,III,2
7.89,5.85,0.78,G3III,III,2
6.48,6.58,0.98,G8III,III,2
8.15,8.47,0.525,F7V,V,4
7.24,2.69,1.527,K4III,III,2
3.59,91.74,0.518,F8V,V,4
7.36,11.4,0.701,G3V,V,4
8.5,2.65,1.124,K1III,III,2
8.76,5.0,0.32,F0V,V,4
8.89,2.75,1.094,K1III,III,2
8.83,5.3,0.528,F5V,V,4
7.65,2.97,1.043,G8III,III,2
7.17,2.47,1.031,G8III,III,2
7.89,10.41,0.39,F0V,V,4
5.62,12.59,1.058,K0IV,V,4
7.32,5.78,0.049,A1V,V,4
7.69,11.12,0.578,F8V,V,4
7.18,5.28,1.201,K2III,III,2
7.56,3.56,1.1,K1III,III,2
9.76,116.92,1.477,M1V,V,4
4.47,7.03,1.283,K4III,III,2
7.78,3.36,0.041,A0V,V,4
6.62,7.54,-0.027,A0V,V,4
7.55,13.65,0.471,F6V,V,4
7.0,5.45,1.168,K1III,III,2
7.86,8.26,0.971,K0III,III,2
7.05,18.59,0.473,F6V,V,4
8.81,1.67,1.188,K1III,III,2
7.56,11.18,0.427,F3V,V,4
8.73,3.94,1.454,K4III,III,2
8.77,8.46,0.626,G2V,V,4
8.48,2.8,1.039,G8IV,V,4
